縣市,起火原因,死亡人數,受傷人數
高雄市,機械設備,0,2
臺中市,爐火烹調,1,0
臺北市,爐火烹調,0,1
彰化縣,電氣因素,1,1
臺中市,電氣因素,2,0
嘉義市,交通事故,0,0
高雄市,自殺,0,1
高雄市,縱火,0,1
花蓮縣,爐火烹調,0,1
苗栗縣,燈燭,0,0
屏東縣,交通事故,0,0
臺東縣,瓦斯漏氣或爆炸,0,1
彰化縣,瓦斯漏氣或爆炸,0,1
臺中市,敬神掃墓祭祖,1,0
臺中市,菸蒂,0,4
高雄市,其他,0,3
新竹市,電氣因素,1,0
屏東縣,自殺,0,1
臺東縣,交通事故,0,0
高雄市,遺留火種,1,1
新北市,電氣因素,3,1
雲林縣,原因不明,0,0
臺北市,自殺,0,0
桃園市,電氣因素,1,7
高雄港,遺留火種,0,0
基隆市,交通事故,0,0
臺南市,菸蒂,1,1
臺北市,遺留火種,0,1
臺中市,自殺,0,1
嘉義縣,遺留火種,1,0
彰化縣,電氣因素,0,2
金門縣,爐火烹調,0,1
彰化縣,瓦斯漏氣或爆炸,0,2
南投縣,瓦斯漏氣或爆炸,0,0
桃園市,遺留火種,0,3
臺中市,菸蒂,0,14
連江縣,敬神掃墓祭祖,0,0
高雄市,其他,1,0
屏東縣,電氣因素,4,2
苗栗縣,烤火,0,1
花蓮縣,其他,0,1
臺北市,瓦斯漏氣或爆炸,0,3
南投縣,菸蒂,1,0
臺南市,自殺,1,1
雲林縣,原因不明,0,1
高雄市,遺留火種,0,1
嘉義縣,易燃品自燃,0,0
彰化縣,施工不慎,1,0
桃園市,縱火,0,2
臺中港,爐火烹調,0,1
臺北市,縱火,0,4
基隆市,機械設備,0,0
臺南市,燈燭,0,1
屏東縣,其他,0,1
臺中市,敬神掃墓祭祖,1,1
臺南市,遺留火種,1,0
臺南市,縱火,7,3
南投縣,菸蒂,0,1
雲林縣,其他,1,0
新竹縣,交通事故,0,0
嘉義市,電氣因素,0,1
臺南市,自殺,1,0
臺北市,菸蒂,1,0
臺北市,燈燭,1,1
臺北市,電氣因素,0,10
彰化縣,遺留火種,1,0
